Bank Soal;A;B;C;D;kunci;Difficulty;Tipe Soal;Kategori
vertikal --- horizontal;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
fluktuasi --- gejolak;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
bertemu --- berpisah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
racun --- madu;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
ilusi --- khayalan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
kuat --- lemah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
absolut --- mutlak;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
instrumen --- alat;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
mukadimah --- pembukaan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
nisbi --- absolut;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
gugat --- tuntut;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
interpretasi --- tafsir;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
bulat --- bundar;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
ilegal --- sah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
bonus --- hadiah;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
mencatat --- menghapus;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
kampiun --- juara;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
perlindungan --- proteksi;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
rajin --- malas;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
tinggi --- rendah;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
disanjung --- dihina;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
asumsi --- anggapan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
maksimal --- minimal;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
destruktif --- konstruktif;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
elastis --- kaku;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
standar --- baku;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
manual --- otomatis;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
sel --- bui;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
pra --- pasca;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
teliti --- ceroboh;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
gemuk --- kurus;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
praktek --- teori;Antonim;Sinonim;;;A;1;PG2;Soal Sinonim/Antonim
jaminan --- agunan;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
akbar --- besar;Antonim;Sinonim;;;S;1;PG2;Soal Sinonim/Antonim
