dialogueCode;dialogueId;dialogue;;;
Jendral;1;Selamat datang prajurit! Kalian ditugaskan kesini untuk menyelamatkan Kota Terajaya dari serangan monster berbahaya. Perjalanan kalian panjang dan sulit, terus berlatih dan meningkatkan kemampuan kalian dengan melawan monster yang ada di hutan ini sebelum melanjutkan perjalanan kalian.;Saya akan memperkenalkan anggota kelompok kalian. Sang Dukun, Anda memiliki kekuatan untuk menghancurkan musuh, serta membantu teman-teman Anda dalam memperkuat serangan maupun bertahan. Setiap kali Anda menaklukkan musuh, Anda akan memulihkan sebagian energi Anda.;Petarung! Anda adalah tameng dari tim ini, Anda memiliki kemampuan untuk bertahan hidup yang tinggi, membuat serangan pertama yang Anda terima dari musuh tidak berpengaruh untuk Anda. Gunakan kemampuan Anda untuk melindungi anggota yang lain, lalu serang dengan pedang Anda!;Dan yang terakhir, si Pembunuh Bayaran. Kelincahan dan refleks Anda yang tinggi mampu membuat Anda menghindari sebagian serangan musuh. Gunakan berbagai macam jenis bom dan keris sakti Anda untuk menaklukkan musuh dengan cepat!
Jendral;2;Sang Dukun, Anda memiliki kekuatan untuk menghancurkan musuh, serta membantu teman-teman Anda dalam memperkuat serangan maupun bertahan. Setiap kali Anda menaklukkan musuh, Anda akan memulihkan sebagian energi Anda.;Petarung! Anda adalah tameng dari tim ini, Anda memiliki kemampuan untuk bertahan hidup yang tinggi, membuat serangan pertama yang Anda terima dari musuh tidak berpengaruh untuk Anda. Gunakan kemampuan Anda untuk melindungi anggota yang lain, lalu serang dengan pedang Anda!;Dan yang terakhir, si Pembunuh Bayaran. Kelincahan dan refleks Anda yang tinggi mampu membuat Anda menghindari sebagian serangan musuh. Gunakan berbagai macam jenis bom dan keris sakti Anda untuk menaklukkan musuh dengan cepat!;
Pelatih Lapangan;1;Setiap monster yang Anda temui memiliki keunikan masing-masing. Slime kecil yang terdapat di bukit sebelah timur dapat dengan mudah Anda taklukkan, sedangkan kura-kura memiliki cangkang keras yang sulit ditembus.;Dalam perjalanan menuju Kota Terajaya, Anda mungkin akan menemukan beberapa patung batu ajaib. Patung-patung ini memiliki mantra khusus yang dapat Anda pecahkan untuk mendapatkan kekuatan baru.;Semoga beruntung dalam perjalanan Anda, jangan lupa untuk meningkatkan kualitas senjata Anda dan membeli jamu selama perjalanan. Barang-barang tersebut akan membantu Anda dalam misi Anda menyelamatkan Kota Terajaya.;
Pemotong kayu;1;Saya dengar ada sebuah patung ajaib di bagian selatan perkemahan ini. mungkin Anda dapat menjelajahi bagian itu. Namun hati-hati, ada banyak kura-kura yang berkeliaran di sepanjang bukit.;;;
Penjaga Hutan;1;Jika Anda ingin ke Kota Terajaya, Anda harus melewati bagian pegunungan yang berada tepat di utara dari hutan ini. berhati-hatilah, monster yang ada di pegunungan lebih kuat daripada monster di daerah ini.;;;
Prajurit;1;Saya  pernah mendengar tentang mitos patung ajaib di dalam gua yang terletak di pegunungan ini. Namun gua tersebut dipenuhi oleh kelelawar berbahaya. Berhati-hatilah jika Anda ingin kesana.;;;
Prajurit Terajaya;1;Kota Terajaya terletak dibalik tembok runtuh ini. Saya mohon selamatkan kota kami! Berbagai jenis monster sudah masuk dan menghancurkan kota kami!;;;
Prajurit Terajaya;2;Terima kasih telah menyelamatkan kota kami! ;;;
Petualang;1;Saya menemukan sebuah patung ajaib di bagian barat pegunungan ini. Patung itu terletak di sebelah air terjun. PemAndangannya sangat indah!;;;
Petarung Terajaya;1;Saya sudah mencoba untuk menaklukkan monster-monster ini, namun masih sangat banyak monster yang berkeliaran. Berhati-hatilah menjelajahi kota ini, Anda harus menemukan batu ajaib yang dapat mengembalikan Terajaya seperti semula!;Batu ajaib tersebut terletak didalam sebuah gua dibalik Kota Terajaya, Anda harus melewati berbagai jenis monster yang ada di dalam Kota ini. Batu tersebut dilindungi oleh hantu besar, taklukkan dia dan segel batu itu untuk menyelamatkan Terajaya.;;
